"icontitle","description"
"自定义","早晚高峰上地进城目前只能路经信息路，公交车专用道占一条车道，造成严重拥堵，尤其是厢白旗桥南北。是否可考虑沿上地西路至信息路，到中关村北四环修建地下快速路或者高架桥快速路，中关村北大街由南向北在北五环设置引桥，方便由南向北进入五环"
"自定义","G7什么时候启动南延计划，南延至何处，能不能在荷清路设置出入口"
"自定义","月泉路与荷清路能不能修地下通道或高架桥，相联通"
"占道停车","中关村北大街，清华附中门口，上下班高峰期，占道停车严重，主路3条车道，能被接孩子的车停占去两条，严重拥堵。"
"安全步行空间","红灯停，绿灯行，安全出行"
"自定义","西直门和东直们换乘站行程太长，中间要当误很长时间"
"安全步行空间","上下课途中，总是有机动车。很危险。"
"过街设施","行人闯红灯的太多了。希望可以遵守群规。"
"过街设施","过街出行不方便，堵车。很影响。"
"自定义","八达岭高速西边龙域东二路和北京人家小区之间的路急需打通。这条道严重影响了八达岭西边的交通，给上学、上班的群众带来诸多不便，呼吁政府协调各个方面，尽快开通道路。"
"自定义","这里经常有拉货的绿色大车闯红灯，有一次擦着我的边就过去了，严重影响行人安全。"
"占道停车","饭点道路占道停车现象太多 影响出行"
"自定义","建议拆除建材城，然后昌平线南延19号线龙泽站放这里，因为京藏高速西边住户去地铁太绕了。同时北京人家南门出来是一条断头路，不能通往龙域中路那边，大大妨碍了居民出行，希望能多多改善民生，了解民意，真正做到为民着想，感谢"
"占道停车","行知路南大街冠庭苑西门与慧华苑东门约400米街道，今年春季开始有关部门″综合整治""以来，占道经营尤其是废品站几台货车占道收货、报刊亭等乱象未见明显好转。建议学习其他二三四线城市管理经验，对占道经营货车根据道路交通法规第163(？)送达处罚通知书！占道经营成本增加至主动放异为止，肯定收到良好效果！"
"占道停车","在北京人家东门外紧临京藏高建辅路旁的那条窄窄的小路。是几条公交和北京人家东边居民的必经之路。却永远在路两旁停满了废弃或占道的车辆。致使经过的车辆难以正常通过。"
"自定义","北京人家小区周边围满了修理汽车的车行，非常影响居民环境及出行。
再有，此小区周边无一居民可活动的场所。"
"自定义","西城区新街口东新开胡同32号原址，因为周边拆迁只剩下此处的一个公共厕所。最近因为解决快递占道经营的问题，此处修缮为快递集中存放货物和分拣的地方。将原来的公共厕所拆除，进行了改建和挪动。可是新建的厕所大门锁着，据说钥匙只分别给了在此处租用快递大棚的公司。附近的居民和508总站开车的司机师傅却无法如厕。"
"自定义","西四北头条和姚家胡同交叉口常年停放垃圾车。在胡同做废品回收。十分影响胡同美观卫生。虽然没有拍照但是希望相关部门能给予重视还我北京胡同一边干净和安宁！"
"安全步行空间","新修葺的西城区西海湿地步行道，看上去很美。但是却蕴含着安全隐患，木制步行道和沿湖行走的步行道，没有安装护栏，稍微人一多，就极易掉河里。近日我同事晚上遛弯时，以后救过两个落水的游人了。希望还是周围安装上护栏，除了景美安全也不可小区。"
"过街设施","这个问题我已经提交过了 一直也没有答复 也没有加装路灯 "
"过街设施","可在路口增设人行横道"
"自定义","自行车逆行较多，顺行有危险"
"自定义","建议在京包路东侧设置人行步梯和非机动车道，现状是京包路西侧有人行步梯，到交通高峰时京包路车多车速高，横穿马路行人和非机动车多，有严重安全隐患。京包路东侧每天都有大量行人和非机动车通行，已经踩出了一条路。"
"安全步行空间","公交站下车的地方旁边都是车，很不安全"
"占道停车","路边全是乱停车的，有的直接停在小区大门口"
"安全步行空间","步行环境有待优化，汽车尾气严重"
"过街设施","金榆路与朝阳北路交汇的丁字路口，由东向西方向仅在路口西侧有红绿灯，在路口东侧没有红绿灯，因此东向西车辆等灯时会进入路口区域，堵塞北向南方向转弯车辆，造成局部拥堵。建议在路口两侧都设置红绿灯，在红灯时禁止朝阳北路车辆驶入路口。"
"安全步行空间","建议东南方向增加一个地铁出入口，方便东南片区出行"
"自定义","路小车酒量大，上下班过个十字路口经常等待20分钟"
"安全步行空间","院内常年整修，影响出行"
"自定义","路小车流量大，过个十字路口经常等20分钟"
"自定义","产业聚集区，但交通道路很少，出行很不便利。建议增设地铁"
"安全步行空间","无自行车道，建议增设自行车道"
"自定义","给居民老百姓划停车位！为什么居委会的车不贴条！"
"照明与监控","照明出现问题111111"
"照明与监控","魏家胡同西口往东大约二百米这段新装的路灯间隔太远 这个问题我已提过 因为路段太过黑暗我家监控录像已经看的不太清晰了 十月二号晚发生了持刀伤人查看监控不是太清楚 既然让人们在此建议就应该能尽快解决国家整治街道是给老百姓提供方便而不是给我们添堵光提建议没人解决有个屁用原来灯距太远尽快加装一个"
"占道停车","建议学校附近可以增设公交站点"
"过街设施","过街路口太少了不方便过马路"
"自定义","希望这里能够打通二拨子新村北边这条断头路，连接京包路，缓解周边小区出行难题，现在只能走G6或是绕行北清路"
"自定义","这些保安堆在人行道上不影响通行码？"
"自定义","这里不知为什么一夜之间多了这许多建筑垃圾。影响市容和行人通行。"
"过街设施","自行车道为北边的小区龙兴园北区，北京人家，二拨子等大型社区预留出入口方便出行"
"自定义","停车费太贵，太贵了。。。。。。"
"过街设施","回龙观东大街，绿灯时间太短，步行过不去路口"
"过街设施","腾讯众创空间A座东门的十字路口的红绿灯🚥的绿灯周期太短了，横跨到一半就变成红灯了"
"占道停车","西城区新街口西里一区7号楼与万特珠宝城之间的道路，也就7米宽。道路两侧停满了车，近期万特珠宝城在道路边上新砌了一米高的墙，种上了灌木,。之前在道路堵死时,居民还能躲在路旁,现在砌好了墙我们实在是没处躲车，真的是很危险。我们希望能够将道路改成单向停车，或者不要在此处停车，还我们一个安全的出行环境。谢谢"
"占道停车","医院门口停车导致拥堵"
"过街设施","不好意思添麻烦了。。。。"
"照明与监控","南剪子巷路灯太少了，一片黑，由其是冬天来了老人和孩子出门更不方便了，望早点解决"
"安全步行空间","希望可以加宽人形横道区域"
"过街设施","车流量大，过街天桥少，不方便过马路"
"自定义","过街天桥太少，过马路不太方便"
"过街设施","陈经纶中学外的东大桥大路口应该增设过街天桥。目前的红路灯的时长也有问题。"
"安全步行空间","接孩子排队放学的步道略显拥挤，家长排好队后不太方便接孩子且接孩子存在安全隐患，建议同步增加摄像头"
"占道停车","街道太窄，占道停车严重，总是堵车，影响居民生活"
"安全步行空间","地铁口乱停乱放自行车，进出极为不便。"
"安全步行空间","车辆太多，孩子上学不安全"
"占道停车","车辆随便停在路边 占用了右转弯的道路和自行车道路"
"照明与监控","堵车严重，建议上学放学时间，车辆限流或者校门口2000米左右禁止停车。"
"占道停车","丰体时代小学旁边两侧 机动车长期占道 没有人治理，家长们自行车都只能上行人道停放"
"占道停车","十二中，丰台一小，丰台一幼都从这条路走，特别堵，加上小区把幼儿园侧面本应该是自行车的道路，也停车，又堵又危险"
"占道停车","占道停车严重，盼改善"
"占道停车","建议人行道加宽，能有停车位"
"过街设施","车辆较多，需要加装红绿灯"
"过街设施","希望可以延长红绿灯时间。"
"安全步行空间","道路太窄，停车位太过于缺乏"
"安全步行空间","路两边都停着车，安全行人道都停满车了，送孩子上学只能走马路，来车辆了，只能到安全行人道上，停着车辆之间的缝隙处等车辆过去，我们再从机动车道走"
"过街设施","早点距边挺放车太多无法通行"
"照明与监控","这里的监控录像司机好像知道是摆设，因为绿灯时照样不停而且飞速开过去"
"安全步行空间","乘文明车，走文明路，做文明人"
"安全步行空间","七条小学校地处胡同中间，道路狭窄，车量较多，安全隐患，交通不便。望有关部门重视。"
"过街设施","早点上下班金安桥北车太多无法通行"
"过街设施","没有过街天桥，人行横道信号灯等的时间太长。"
"安全步行空间","道路太宽，没有安装电子设施"
"过街设施","人流车流较大需要道路加宽"
"照明与监控","车速太快交易加装监控设备。"
"照明与监控","车流量大车速太快，建议加装限速设备。"
"占道停车","马路边上停车位少，没有地方停车。"
"自定义","地方偏僻，交通不方便，公交车发车时间间隔太长"
"照明与监控","车流量较大需要加装红绿灯"
"自定义","地方偏僻，交通不便利～公交车发车时间间隔太长。，"
"过街设施","道路过不便过于狭窄！"
"占道停车","违停太多，老是堵车，路段禁停"
"占道停车","控制共享单车乱停乱放"
"占道停车","路口红绿灯坏了，占道停车现象严重"
"自定义","道路复杂，增加路牌指示"
"占道停车","路边全是车，骑自行车上班很不安全。"
"过街设施","车流量太大，应该红绿灯时间长一些。"
"占道停车","违停车辆太多，建议多多清理。"
"占道停车","停车位太小，停不了车"
"占道停车","僵尸车太多，应该尽快把僵尸车清理"
"车辆超速","控制好速度不要超速。"
"占道停车","违停车辆太多，导致道路狭窄"
"车辆超速","放学时 ，过往车辆速度快"
"自定义","上学放学道路拥挤。。"
"自定义","道路窄，停车不方便，掉头困难"
"安全步行空间","早晚高峰堵车比较严重，少数违章乱停，为美好北京堤的一点小的建议"
"自定义","交通拥挤，停车不便。"
"自定义","会都门前没有车位，增加车位"
"占道停车","周边小区车位紧张，路边停的车多"
"过街设施","上下班车辆过多  拥挤"
"照明与监控","人流较大道路复杂需加装指示牌"
"占道停车","车辆随意停车建议车辆管理部门加大执勤力度"
"占道停车","违章停车多，没有电子眼"
"占道停车","会都门前增加车位，一变停车"
"自定义","道路狭窄，交通不便。"
"占道停车","车流量较大。建议红绿灯时间设置长一点。"
"占道停车","道路交通堵塞，出入不方便"
"占道停车","乱停车现象严重，无人管，影响出行"
"自定义","道路拥堵，人行车道车乱放，政府进行整改。"
"安全步行空间","也没什么太多说的就请司机尊守交通规定，礼让行人，天气冷了，请多体谅学生，不要急着赶路，你在车里有空调取暖，他们什么也没有，多体谅一下他们，谢谢"
"过街设施","车流大，车速较快需加装红绿灯"
"占道停车","占道停车，，，，，，。"
"过街设施","上下班   过于拥挤不方便"
"自定义","道路太宽，没有电子设备。"
"占道停车","车辆拥堵，需要整顿，，，，，"
"占道停车","车辆占道停车，行人不方便走路"
"过街设施","上下学孩子多  道 路不便"
"自定义","北京不叫私家车上主路道路就通了，道边车位就有,。"
"过街设施","小区门口没有照明设施  道口没有人行道 请求整顿一下"
"自定义","北京不让私家车上主路，道路不就通了吗！路边车位不就有了。"
"占道停车","道路交通，狭宅车辆过多？"
"自定义","车辆太多，建议单双号行驶！"
"安全步行空间","上下班少开车，做公交地铁"
"自定义","路边停车多，有施工不好通行。"
"自定义","车辆太多，建议单双号行驶！"
"自定义","车多拥挤且车速缓慢，难以提高工作效率"
"占道停车","立交桥上停车太多希望有关部门监管一下"
"占道停车","停车位少，没有地方停车，停车费高。"
"过街设施","上下学不方便，过于拥挤。"
"自定义","建议有专人管理，确保人民生命安全。"
"自定义","马路边上乱停乱放严重，需要重点管理"
"占道停车","停车位少，没地方停车，收费高，"
"车辆超速","经常有大车超速通过路口，很危险"
"过街设施","这里上下学学生多，没有天桥交通太堵。"
"车辆超速","早上晚上残疾人摩托车拉客现象严重。路窄很容易出事"
"占道停车","街上人多，公路两侧乱停乱放希望有关部门有所重视。"
"过街设施","这里没有天桥，上下学太堵。"
"过街设施","这里上下学太堵，没有天桥。"
"过街设施","路比较窄，不是很安全"
"过街设施","上下学太堵，行人不方便。"
"自定义","道路太宽，电子设备不足"
"占道停车","小黄车太多，堵住马路上了。"
"占道停车","希望能多点停车位，便于接送孩子"
"占道停车","车站边车辆停电电动车乱停乱放。"
"照明与监控","太暗了找不着北了，学校边上这"
"自定义","人流车流太大道路需要加宽"
"过街设施","人流车流量大，街道过窄"
"自定义","道路复杂，需添加指示牌"
"占道停车","停车有序！给孩子一个上学通畅的路"
"过街设施","再多几个过街天桥就好啦"
"自定义","人行道占用车辆，道路狭窄！"
"过街设施","车多，人流量大，却常年没有设置红绿灯。厢黄旗东路是早晚高峰的必经之路，来往小区和对面小公园的多是老年人和小孩，非常不安全。"
"安全步行空间","缺少安全步行设施，希望加以改善"
"自定义","道路复杂，须添加指示牌"
"自定义","道路复杂，需要添加指示牌"
"自定义","路边车多，同行很是不方便"
"占道停车","路边停车严重影响交通有关部门加大执法力度"
"占道停车","路两边车太多，希望相关部门加强管理"
"安全步行空间","上下班时间禁止走交通要道。"
"占道停车","希望广大司机别挤着行驶"
"自定义","路道拥堵，人行车道车乱放，政府进行整改。"
"过街设施","这里在修马路，没有警示牌。"
"自定义","道路拥堵，人行车道车乱放，政府进行整改。"
"安全步行空间","路口没有照名设备，没有认行道"
"自定义","因为学校接送学生违规停车，影响交通"
"自定义","路上车辆多人多安全第一"
"自定义","道路拥堵，人行车道乱放车，政府进行整改"
"自定义","车辆占用人行道，车辆严重堵车，政府进行整改"
"自定义","道路交通，狭窄车辆过多"
"过街设施","严重堵塞，影响行人车辆通行"
"占道停车","道路拥堵，人行车道车乱放，政府进行整改。"
"自定义","自行车乱放严重影响交通，要求相关部门进行整改"
"自定义","道路上没有路灯 有些不便"
"自定义","路边车太多路边乱停车"
"自定义","接送学生家长违规停车，导致同行困难。"
"占道停车","车辆路边随意停放，严重影响交通。有关部门加大整治力度"
"自定义","自行车乱放，人行道乱车，要求相关部门进行整改。"
"占道停车","堵车太严重了，公交车过不来。"
"安全步行空间","道路存在安全隐患，没有路照名，没有，行路，"
"占道停车","路边停车严重影响交通，有关部门加大值法力度"
"自定义","路边违规停车太多。影响交通。"
"自定义","道路拥堵人行道乱放车需要政府整改"
"安全步行空间","路太窄车多，学生上下学不安全"
"安全步行空间","路口没有路灯，没有人行道，"
"自定义","路边车辆乱放，不好行走"
"自定义","人行道乱放自行车导至交通拥堵，要求相关部门整改。"
"自定义","道路拥堵，人行车道乱放车，政府进行整改"
"自定义","路边车辆乱放，请执法部门加上管理"
"自定义","道路拥堵人行道乱放车需要政府整改"
"安全步行空间","路边停车严重影响交通安全"
"自定义","学生上学导致道路交通拥挤"
"自定义","车辆乱放严重影响交通要求相关部门整行"
"自定义","学生上学导致道路交通拥挤"
"自定义","车辆乱放，非常不好行走"
"占道停车","车辆随意停放严重，影响交通安全，希望相关部门加强管理。"
"自定义","路边车辆太多，希望有关部门加强管理"
"占道停车","车辆违章停车，影响交通，"
"自定义","自行车乱放因严重影响交通要求相关部门进行整改。"
"占道停车","车辆随意停放严重影响交通安全，希望有关部门加大整治力度。"
"自定义","路边车太多，希望相关部门加强管理"
"占道停车","路边停车严重影响交通，有关部门加强执法力度"
"占道停车","上下班乘坐公交车地铁步行奇自行车"
"安全步行空间","路面停车较多，应加强管理"
"占道停车","非机动车乱停乱放严重夜间出行很麻烦。"
"占道停车","上下班乘坐公交车和地铁奇自行车多建设一些停车厂"
"占道停车","学校周边私家车乱停，没有专门的停车位，学生放学危险"
"占道停车","车辆随意的停放影响交通安全，希望有关部门加强管制。"
"占道停车","道路堵塞，，，，，，，，，，"
"占道停车","接学生车辆违章停车，应该设置专门的停车位"
"自定义","道路交通，狭窄车辆过多"
"自定义","车辆比较多多，道路狭窄，停车位不够"
"自定义","道路交通，狭窄车辆过多"
"自定义","道路交通，狭窄车辆过多"
"安全步行空间","行人闯红灯严重，造成车辆通过困难"
"自定义","道路边私加车乱放影响交通望有关部门进行整改"
"过街设施","黄奕路口每次回来的时候，路口堵的水泄不通，短短的路口就要登上一个小时左右才能过这个路口"
"占道停车","车辆乱停放影响交通安全望有关部门加强整冶。"
"占道停车","车辆随意停放影响交通安全希望有关部门加大管制力度。"
"自定义","私家车乱放乱放严重影响交通望有关部门进行整不改"
"自定义","私家车乱放在道旁严重影响交通望有关部门进行整改"
"自定义","道路交通，狭窄车辆过多"
"自定义","人行道上自行车乱放，严重影响交通，有关部门进行处理。"
"过街设施","私家车乱放，如果能够有特定停车区域就好了"
"自定义","学生上学导致道路拥挤堵塞，"
"自定义","道路两旁乱停车严重影响交通有关部门进行整改"
"自定义","路边乱停车，严重影响过往车辆正常通过。"
"过街设施","道路交通，狭窄车辆过多"
"过街设施","施工时间太长，道路狭窄，不利于车辆顺利通行"
"占道停车","把车挪走，让道路顺利通行"
"占道停车","大马路都变成停车场了"
"占道停车","因为挨着积水潭医院，来看病的车一早就开始排队，导致附近的马路两侧随意停车，有时停两排，把自行车都挤到路中间行驶了。很不安全。"
"车辆超速","感觉红绿灯变换时，司机无视黄灯的存在能否稍稍停留，待灯确定变成绿灯时再踩油门呢！"
"占道停车","车辆乱停乱放，望完善一下。"
"占道停车","上班下班或平峰期间，新宫地铁站A口，私家车违规停车拉拢乘客，大喊大叫，公交车不得不停在中间车道上下客，导致只有一个车道行车，每次都堵"
"占道停车","私家车占车道现象严重 学生上下学特别不安全 家长接送孩子也是经常堵半天"
"占道停车","学校出口马路窄 汽车接送孩子不方便"
"安全步行空间","路边停车较多，学生步道经常被占，建议整顿人行道上随意停车"
"过街设施","改变道路交叉口多拐弯线"
"安全步行空间","云岗路囗行人过马路不方便"
"安全步行空间","定福庄北街人行步道狭窄，行车道狭窄，路两侧乱停车严重"
"过街设施","每天接送孩子的时候，道路狭窄，照明设施不完善，指示牌不明显"
"安全步行空间","接送孩子的时候家长等待的地方和区域太小，如果可以将区域扩大一点就好了"
"过街设施","道路拥堵严重，虽然路旁已经有了行车线路划分，但是道路狭窄，建议扩宽些和多些指引"
"车辆超速","在这里设置车辆限速，及时刹车保障孩子安全。"
"占道停车","1.校园周边的私家车乱停，没有专属的停车区域。如果能够有特定停车区域就好了


"
"占道停车","校园周边私家车乱停乱放，没有专用停车位"
"占道停车","接送孩子不方便，占道严重。"
"占道停车","接送孩子不方便，占道太严重，路灯太暗。"
"安全步行空间","没有停车的地方，安全行走空间需加大"
"安全步行空间","需要➕安全行走空间，停车位比较少"
"安全步行空间","育才小学门口道路拥挤，机非混行。"
"安全步行空间","在这里增设或改善安全步行空间"
"占道停车","接送孩子～周边路太堵，自行车占道太严重。"
"占道停车","学校门口是丁字路口，上下学占道停车，交通路口较窄"
"安全步行空间","育才学校校门外的商店每天早晨都要把摊位摆出来，使并不宽敞的人行路更加拥挤"
"安全步行空间","保障孩子们的安全，建议减速或设立红绿灯🚥"
"车辆超速","这里有四所学校，分别有小学中学，初中以及大学，如果限速会更好。还有就是电三轮的交规管制。"
"占道停车","占道停车，希望300米内路边禁停"
"自定义","学校门口黑车泛滥成灾 严重影响安全 胡乱收费成灾"
"占道停车","太多黑车堵在学校门口 能不能解决了？！"
"自定义","黑出租严重。。。。。"
"安全步行空间","无过街设施。。。。。"
"占道停车","房后车辆过多，小区停车费高，旁边店铺占用道路位置，不同意搬迁"
"车辆超速","大车太多了，蹦蹦太多了，交通混乱"
"占道停车","学校附近的黑车是真的太多了，不遵守交通规则，闯红灯，逆行"
"安全步行空间","道路太狭窄，过道停车，孩子没有步行空间"
"过街设施","出校门孩子步行不安全，需要增加安全措施"
"安全步行空间","步行空间不安全，缺少安全设施"
"占道停车","徐悲鸿中学占道停车。"
"照明与监控","接送孩子的时候，有的时候额，车辆占道的情况比较严重，没有专属的自行车停放区域。嗯，希望这方面可以改善。
"
"安全步行空间","学校门口就是马路路窄车多"
"自定义","寻找周边应该有地铁啊，最起码的设施了吧，做个地铁还要跑到30公里外的天宫院"
"过街设施","车辆太多，孩子上下学车辆拥堵"
"安全步行空间","缺少停车位，接孩子不方便。"
"自定义","麻烦把顺55路的班次合理规划一下，周末高峰期多发车"
"自定义","学校门口黑车较多，经常堵在学校门口，影响交通。"
"自定义","附近缺少娱乐项目。。"
"照明与监控","在夜晚照明情况需要改善"
"自定义","出行不便，公交车班次太少，校门口只有黑车"
"过街设施","多种树木花草，有利于改善环境，~~"
"过街设施","学校附近应该有人行通道，为学生的安全考虑。"
"照明与监控","图书馆的监控设置不完善"
"自定义","出了校园门口黑车太多"
"自定义","没有高配置网吧  外卖不好吃"
"照明与监控","希望可以多弄几个路灯"
"照明与监控","就晚上还挺黑暗的，希望能增设照明和监控，安全一点"
"车辆超速","车开的太快，，过马路吓人"
"照明与监控","缺少购物中心，路道太过于阴暗，晚上独自出行不够安全"
"过街设施","就都挺好的，就是栏杆有点多太麻烦了了看着还难受"
"照明与监控","娱乐场所过少，交通不方便。"
"照明与监控","此处车辆行人较多，又因有很多培训机构，所以应增设交通协管。"
"自定义","改善道路停车制度，以方便停车"
"占道停车","此条街道，经常反复维修，占道严重。又挨着西什库小学，放学的时候堵车，又路面又有泥土，施工的人也多。应该限制占道停车。"
"照明与监控","希望增设监控，让大家能够文明用马路"
"安全步行空间","路边停车太多，小区周边路太窄"
"自定义","学校门口黑车太多，影响校门口交通顺畅，危险系数较高"
"占道停车","下学校门口车辆较多，建议增加道路秩序维护工作人员"
"占道停车","小区可以开发地下车库，减少占道停车，让行人更安全"
